month,segment_id,state,product_line,territory,written_premium,earned_premium,incurred_losses,loss_ratio,expense_ratio,combined_ratio,retention,policy_count,claim_frequency,avg_claim_severity
2025-08,WA-HO-02,WA,Home,Rural farm belt,1147197,1116263,737587,66.1,28.4,94.5,77.3,481,5.6,27602
2025-09,WA-HO-02,WA,Home,Rural farm belt,1181007,1122844,733437,65.3,31.8,97.1,82.9,832,6.6,13401
2025-10,WA-HO-02,WA,Home,Rural farm belt,799602,796452,602259,75.6,27.3,102.9,80.1,423,8.6,16617
2025-11,WA-HO-02,WA,Home,Rural farm belt,1216119,1170288,739634,63.2,29.7,92.9,81.6,790,7.0,13419
2025-12,WA-HO-02,WA,Home,Rural farm belt,1286630,1267315,829904,65.5,29.6,95.1,77.9,840,7.1,13866
2026-01,WA-HO-02,WA,Home,Rural farm belt,1083207,1021477,622165,60.9,26.9,87.8,81.0,675,5.1,18201
2026-02,WA-HO-02,WA,Home,Rural farm belt,1231137,1141370,706319,61.9,30.5,92.4,78.5,814,5.1,17075
2026-03,WA-HO-02,WA,Home,Rural farm belt,1086877,1051301,772830,73.5,31.3,104.9,78.4,772,7.6,13148
2025-04,WA-HO-03,WA,Home,Wildland interface,785250,754046,601718,79.8,31.7,111.5,77.6,513,8.2,14321
2025-05,WA-HO-03,WA,Home,Wildland interface,950015,900476,729808,81.0,32.0,113.1,78.8,401,7.9,23021
2025-06,WA-HO-03,WA,Home,Wildland interface,771206,786575,736957,93.7,32.3,126.0,81.7,353,11.2,18565
2025-07,WA-HO-03,WA,Home,Wildland interface,993638,935385,810309,86.6,26.9,113.5,78.4,392,9.8,21061
2025-08,WA-HO-03,WA,Home,Wildland interface,1149938,1110266,957689,86.3,32.2,118.5,82.1,587,7.8,20980
2025-09,WA-HO-03,WA,Home,Wildland interface,838168,795983,748122,94.0,30.0,124.0,79.4,377,12.1,16439
2025-10,WA-HO-03,WA,Home,Wildland interface,1062005,1030448,917512,89.0,27.4,116.5,81.9,767,10.6,11324
2025-11,WA-HO-03,WA,Home,Wildland interface,1073924,1060523,796089,75.1,27.2,102.3,81.5,691,7.2,16073
2025-12,WA-HO-03,WA,Home,Wildland interface,1092864,1051251,833064,79.2,29.6,108.9,81.7,707,7.2,16476
2026-01,WA-HO-03,WA,Home,Wildland interface,901858,865403,692870,80.1,28.3,108.4,78.0,409,10.2,16637
2026-02,WA-HO-03,WA,Home,Wildland interface,1021733,1042010,903096,86.7,26.9,113.6,77.4,670,7.1,18921
2026-03,WA-HO-03,WA,Home,Wildland interface,1249471,1259375,975808,77.5,27.4,104.9,81.1,611,7.3,21763
2025-04,WA-HO-04,WA,Home,Mountain and hail belt,1062801,1077567,777525,72.2,27.2,99.3,74.7,571,8.1,16724
2025-05,WA-HO-04,WA,Home,Mountain and hail belt,1040449,1031877,785506,76.1,30.3,106.4,75.6,569,6.3,21810
2025-06,WA-HO-04,WA,Home,Mountain and hail belt,1166866,1084287,889933,82.1,28.2,110.2,74.0,507,7.7,22853
2025-07,WA-HO-04,WA,Home,Mountain and hail belt,881703,876521,746010,85.1,29.1,114.2,74.1,655,7.1,15945
2025-08,WA-HO-04,WA,Home,Mountain and hail belt,1210281,1179490,1055334,89.5,30.0,119.5,74.9,844,9.9,12635
2025-09,WA-HO-04,WA,Home,Mountain and hail belt,1215103,1214632,1068292,88.0,31.9,119.8,75.3,790,11.0,12322
2025-10,WA-HO-04,WA,Home,Mountain and hail belt,1161847,1171622,902772,77.1,30.2,107.3,74.9,505,6.5,27430
2025-11,WA-HO-04,WA,Home,Mountain and hail belt,1269314,1270681,1053179,82.9,26.6,109.5,78.4,778,6.8,19851
2025-12,WA-HO-04,WA,Home,Mountain and hail belt,1187153,1194759,951258,79.6,28.1,107.7,78.7,869,6.7,16307
2026-01,WA-HO-04,WA,Home,Mountain and hail belt,1223404,1152744,910613,79.0,29.3,108.3,75.8,532,9.1,18717
2026-02,WA-HO-04,WA,Home,Mountain and hail belt,794970,746726,529686,70.9,31.7,102.6,79.8,475,6.6,16833
2026-03,WA-HO-04,WA,Home,Mountain and hail belt,996946,1015005,778199,76.7,32.1,108.8,74.7,429,9.1,19857
2025-04,WA-AU-01,WA,Auto,Urban agency corridor,690979,677589,471835,69.6,24.8,94.4,80.4,439,6.3,17046
2025-05,WA-AU-01,WA,Auto,Urban agency corridor,575668,582897,422693,72.5,26.8,99.3,81.4,288,7.8,18865
2025-06,WA-AU-01,WA,Auto,Urban agency corridor,605555,597334,421244,70.5,24.4,94.9,82.0,287,7.8,18735
2025-07,WA-AU-01,WA,Auto,Urban agency corridor,702137,674641,488858,72.5,24.3,96.7,77.7,389,5.9,21162
2025-08,WA-AU-01,WA,Auto,Urban agency corridor,850108,858848,649773,75.7,24.3,100.0,80.2,686,8.5,11186
2025-09,WA-AU-01,WA,Auto,Urban agency corridor,758064,741385,553137,74.6,25.3,99.9,79.6,495,7.6,14777
2025-10,WA-AU-01,WA,Auto,Urban agency corridor,948865,948488,602131,63.5,23.0,86.5,80.0,479,6.9,18170
2025-11,WA-AU-01,WA,Auto,Urban agency corridor,921643,917139,643319,70.1,23.8,94.0,78.1,717,8.0,11159
2025-12,WA-AU-01,WA,Auto,Urban agency corridor,789845,793773,457145,57.6,25.0,82.6,80.7,538,5.2,16203
2026-01,WA-AU-01,WA,Auto,Urban agency corridor,802254,757647,511016,67.4,22.5,90.0,81.4,354,8.4,17192
2026-02,WA-AU-01,WA,Auto,Urban agency corridor,778956,730340,536975,73.5,25.6,99.1,77.2,475,6.3,18054
2026-03,WA-AU-01,WA,Auto,Urban agency corridor,796252,796364,557855,70.1,28.4,98.5,80.5,339,5.9,28089
2025-04,WA-AU-02,WA,Auto,Rural farm belt,913294,908148,691110,76.1,24.1,100.2,75.3,457,6.7,22513
2025-05,WA-AU-02,WA,Auto,Rural farm belt,774858,761434,572172,75.1,23.0,98.1,75.6,487,8.3,14226
2025-06,WA-AU-02,WA,Auto,Rural farm belt,786908,734844,560685,76.3,26.7,103.0,78.1,555,8.0,12629
2025-07,WA-AU-02,WA,Auto,Rural farm belt,792685,762228,583629,76.6,25.0,101.6,79.3,396,7.0,21130
2025-08,WA-AU-02,WA,Auto,Rural farm belt,920158,916992,724278,79.0,22.5,101.5,76.0,433,6.7,24920
2025-09,WA-AU-02,WA,Auto,Rural farm belt,963712,926997,775494,83.7,25.8,109.4,77.5,616,9.7,12937
2025-10,WA-AU-02,WA,Auto,Rural farm belt,764976,705999,519665,73.6,26.6,100.2,76.3,490,7.5,14173
2025-11,WA-AU-02,WA,Auto,Rural farm belt,647031,635530,415622,65.4,24.9,90.3,77.2,496,6.1,13728
2025-12,WA-AU-02,WA,Auto,Rural farm belt,654106,631978,403717,63.9,24.8,88.7,75.1,388,5.7,18416
2026-01,WA-AU-02,WA,Auto,Rural farm belt,755893,752265,581068,77.2,24.0,101.3,74.3,591,7.6,12980
2026-02,WA-AU-02,WA,Auto,Rural farm belt,1011517,965994,721395,74.7,27.2,101.9,77.8,456,6.1,25946
2026-03,WA-AU-02,WA,Auto,Rural farm belt,691615,637695,431434,67.7,23.3,90.9,77.9,335,7.9,16351
2025-04,WA-AU-03,WA,Auto,Wildland interface,615109,616296,602443,97.8,23.1,120.9,71.1,383,9.0,17518
2025-05,WA-AU-03,WA,Auto,Wildland interface,942332,904323,871325,96.4,23.0,119.3,75.1,458,12.0,15815
2025-06,WA-AU-03,WA,Auto,Wildland interface,876519,880928,850560,96.6,23.2,119.8,76.9,409,10.5,19893
2025-07,WA-AU-03,WA,Auto,Wildland interface,748354,716217,685288,95.7,24.5,120.2,76.1,326,11.9,17637
2025-08,WA-AU-03,WA,Auto,Wildland interface,960785,944989,951246,100.7,26.7,127.4,73.6,451,8.2,25830
2025-09,WA-AU-03,WA,Auto,Wildland interface,695292,695862,648320,93.2,25.4,118.6,73.6,332,10.5,18533
2025-10,WA-AU-03,WA,Auto,Wildland interface,929317,932173,763889,81.9,27.8,109.7,72.4,522,7.8,18843
2025-11,WA-AU-03,WA,Auto,Wildland interface,746954,689342,638405,92.6,23.6,116.2,72.2,318,10.1,19947
2025-12,WA-AU-03,WA,Auto,Wildland interface,951875,942469,753993,80.0,22.6,102.6,76.6,698,7.2,14988
2026-01,WA-AU-03,WA,Auto,Wildland interface,799921,796574,690081,86.6,26.4,113.0,73.9,368,10.9,17242
2026-02,WA-AU-03,WA,Auto,Wildland interface,696595,689057,554971,80.5,26.0,106.5,73.8,370,8.4,17929
2026-03,WA-AU-03,WA,Auto,Wildland interface,914063,871174,783578,89.9,24.1,114.1,72.5,627,10.6,11759
2025-04,WA-AU-04,WA,Auto,Mountain and hail belt,755945,750244,702899,93.7,25.6,119.3,71.3,549,11.1,11576
2025-05,WA-AU-04,WA,Auto,Mountain and hail belt,662225,621130,492611,79.3,25.7,105.0,71.2,262,7.7,24340
2025-06,WA-AU-04,WA,Auto,Mountain and hail belt,847567,790464,765498,96.8,25.4,122.3,74.8,413,9.8,18847
2025-07,WA-AU-04,WA,Auto,Mountain and hail belt,753046,706686,586004,82.9,28.1,111.1,72.5,321,8.7,20922
2025-08,WA-AU-04,WA,Auto,Mountain and hail belt,614582,604100,496415,82.2,23.4,105.6,73.0,377,6.6,19981
2025-09,WA-AU-04,WA,Auto,Mountain and hail belt,635731,633471,569921,90.0,27.2,117.2,70.9,342,9.2,18064
2025-10,WA-AU-04,WA,Auto,Mountain and hail belt,767697,772316,725444,93.9,24.3,118.3,73.3,395,8.4,21899
2025-11,WA-AU-04,WA,Auto,Mountain and hail belt,972990,915369,704513,77.0,26.5,103.4,70.5,631,9.8,11424
2025-12,WA-AU-04,WA,Auto,Mountain and hail belt,600911,579909,473786,81.7,24.2,105.9,71.0,281,7.4,22732
2026-01,WA-AU-04,WA,Auto,Mountain and hail belt,786024,777172,674998,86.9,27.2,114.1,73.3,386,7.1,24500
2026-02,WA-AU-04,WA,Auto,Mountain and hail belt,778953,759055,627503,82.7,28.0,110.6,74.6,569,9.9,11112
2026-03,WA-AU-04,WA,Auto,Mountain and hail belt,735672,731917,610508,83.4,24.2,107.6,70.3,358,7.6,22486
2025-04,WA-FR-01,WA,Farm and Ranch,Urban agency corridor,522997,498014,344041,69.1,26.0,95.1,85.2,225,6.7,22966
2025-05,WA-FR-01,WA,Farm and Ranch,Urban agency corridor,667540,680862,539360,79.2,27.1,106.3,79.7,321,8.0,20898
2025-06,WA-FR-01,WA,Farm and Ranch,Urban agency corridor,589637,596481,430913,72.2,29.0,101.3,83.3,328,9.1,14469
2025-07,WA-FR-01,WA,Farm and Ranch,Urban agency corridor,509551,485771,396966,81.7,30.6,112.4,81.4,237,9.1,18326
2025-08,WA-FR-01,WA,Farm and Ranch,Urban agency corridor,678337,679257,535781,78.9,28.2,107.1,81.4,418,6.4,20070
2025-09,WA-FR-01,WA,Farm and Ranch,Urban agency corridor,531448,516280,438334,84.9,29.4,114.3,82.7,299,10.1,14570
2025-10,WA-FR-01,WA,Farm and Ranch,Urban agency corridor,522743,520466,394687,75.8,30.1,105.9,80.7,276,6.2,22890
2025-11,WA-FR-01,WA,Farm and Ranch,Urban agency corridor,547431,541861,347992,64.2,31.3,95.6,83.1,355,7.7,12656
2025-12,WA-FR-01,WA,Farm and Ranch,Urban agency corridor,582715,568279,351503,61.9,31.5,93.3,84.9,319,7.6,14407
2026-01,WA-FR-01,WA,Farm and Ranch,Urban agency corridor,666561,646456,467999,72.4,28.6,100.9,81.1,292,5.8,27455
2026-02,WA-FR-01,WA,Farm and Ranch,Urban agency corridor,501313,488843,327920,67.1,31.0,98.1,82.5,216,5.7,26751
2026-03,WA-FR-01,WA,Farm and Ranch,Urban agency corridor,513644,513131,356651,69.5,31.1,100.6,82.5,233,7.8,19632
2025-04,WA-FR-02,WA,Farm and Ranch,Rural farm belt,551840,526738,432297,82.1,28.8,110.8,80.6,325,9.7,13684
2025-05,WA-FR-02,WA,Farm and Ranch,Rural farm belt,598550,584891,462911,79.1,30.2,109.3,78.1,277,7.2,23282
2025-06,WA-FR-02,WA,Farm and Ranch,Rural farm belt,633459,607238,540080,88.9,30.4,119.4,83.7,333,11.6,14014
2025-07,WA-FR-02,WA,Farm and Ranch,Rural farm belt,552106,540521,504848,93.4,30.7,124.1,80.5,291,9.5,18175
2025-08,WA-FR-02,WA,Farm and Ranch,Rural farm belt,616543,592496,526018,88.8,26.4,115.2,80.7,250,9.7,21787
2025-09,WA-FR-02,WA,Farm and Ranch,Rural farm belt,611976,602786,544150,90.3,30.6,120.9,83.0,357,9.9,15337
2025-10,WA-FR-02,WA,Farm and Ranch,Rural farm belt,622962,620433,544982,87.8,25.7,113.6,78.3,314,7.3,23918
2025-11,WA-FR-02,WA,Farm and Ranch,Rural farm belt,705411,701656,541277,77.1,26.1,103.2,81.6,311,7.9,21926
2025-12,WA-FR-02,WA,Farm and Ranch,Rural farm belt,623393,629840,428958,68.1,30.3,98.4,79.6,374,8.3,13856
2026-01,WA-FR-02,WA,Farm and Ranch,Rural farm belt,580537,566948,458048,80.8,26.5,107.3,78.3,251,7.6,23940
2026-02,WA-FR-02,WA,Farm and Ranch,Rural farm belt,500479,506125,353550,69.9,28.3,98.1,79.4,327,9.3,11681
2026-03,WA-FR-02,WA,Farm and Ranch,Rural farm belt,666440,673185,548836,81.5,26.4,108.0,80.5,408,7.8,17222
2025-04,WA-FR-03,WA,Farm and Ranch,Wildland interface,510183,494021,444686,90.0,28.9,118.9,77.7,206,10.0,21526
2025-05,WA-FR-03,WA,Farm and Ranch,Wildland interface,674937,665368,625218,94.0,28.9,122.9,78.3,315,12.1,16360
2025-06,WA-FR-03,WA,Farm and Ranch,Wildland interface,577276,559769,602881,107.7,27.2,134.9,79.0,287,11.6,18064
2025-07,WA-FR-03,WA,Farm and Ranch,Wildland interface,589145,578592,604663,104.5,29.8,134.3,78.2,261,9.8,23590
2025-08,WA-FR-03,WA,Farm and Ranch,Wildland interface,666744,656499,636723,97.0,28.1,125.1,77.7,313,12.2,16676
2025-09,WA-FR-03,WA,Farm and Ranch,Wildland interface,501008,498377,459437,92.2,26.3,118.5,77.4,210,9.1,24098
2025-10,WA-FR-03,WA,Farm and Ranch,Wildland interface,677649,679714,614254,90.4,30.4,120.8,77.1,312,8.0,24471
2025-11,WA-FR-03,WA,Farm and Ranch,Wildland interface,519355,483788,482797,99.8,26.3,126.1,80.0,216,9.0,24909
2025-12,WA-FR-03,WA,Farm and Ranch,Wildland interface,704638,716425,677334,94.5,27.7,122.2,79.0,565,9.3,12912
2026-01,WA-FR-03,WA,Farm and Ranch,Wildland interface,558706,551601,503524,91.3,29.0,120.3,79.1,236,11.4,18796
2026-02,WA-FR-03,WA,Farm and Ranch,Wildland interface,498464,459834,441336,96.0,28.9,124.8,79.7,305,12.3,11784
2026-03,WA-FR-03,WA,Farm and Ranch,Wildland interface,671998,679349,597164,87.9,27.9,115.9,75.1,290,9.7,21134
2025-04,WA-FR-04,WA,Farm and Ranch,Mountain and hail belt,587547,584206,573898,98.2,28.0,126.3,81.2,409,10.3,13676
2025-05,WA-FR-04,WA,Farm and Ranch,Mountain and hail belt,435538,422008,386881,91.7,31.2,122.9,77.0,251,9.4,16337
2025-06,WA-FR-04,WA,Farm and Ranch,Mountain and hail belt,671593,675317,597009,88.4,29.6,118.0,80.0,284,9.5,22098
2025-07,WA-FR-04,WA,Farm and Ranch,Mountain and hail belt,523387,491451,440593,89.7,30.6,120.2,79.5,244,8.4,21568
2025-08,WA-FR-04,WA,Farm and Ranch,Mountain and hail belt,581783,536483,540658,100.8,27.0,127.7,77.5,282,12.8,14921
2025-09,WA-FR-04,WA,Farm and Ranch,Mountain and hail belt,632197,594717,524644,88.2,30.7,118.9,78.8,418,7.3,17077
2025-10,WA-FR-04,WA,Farm and Ranch,Mountain and hail belt,421960,424424,355720,83.8,26.3,110.1,78.3,292,7.8,15706
2025-11,WA-FR-04,WA,Farm and Ranch,Mountain and hail belt,430965,397128,366571,92.3,26.9,119.2,78.7,273,11.9,11291
2025-12,WA-FR-04,WA,Farm and Ranch,Mountain and hail belt,636951,619504,552734,89.2,28.4,117.6,81.4,336,11.1,14834
2026-01,WA-FR-04,WA,Farm and Ranch,Mountain and hail belt,572726,581055,440114,75.7,30.2,105.9,82.0,314,7.7,18117
2026-02,WA-FR-04,WA,Farm and Ranch,Mountain and hail belt,708393,656031,553833,84.4,27.9,112.3,80.9,361,7.0,21895
2026-03,WA-FR-04,WA,Farm and Ranch,Mountain and hail belt,455012,422288,375984,89.0,25.9,114.9,78.4,213,8.7,20305
2025-04,WA-UM-01,WA,Umbrella,Urban agency corridor,152315,150819,84579,56.1,22.4,78.5,88.9,123,6.5,10515
2025-05,WA-UM-01,WA,Umbrella,Urban agency corridor,187030,176341,85589,48.5,21.2,69.8,86.8,220,5.0,7722
2025-06,WA-UM-01,WA,Umbrella,Urban agency corridor,208776,199889,92811,46.4,24.0,70.5,84.7,154,5.8,10340
2025-07,WA-UM-01,WA,Umbrella,Urban agency corridor,154896,153948,90449,58.8,21.8,80.6,87.8,138,6.4,10205
2025-08,WA-UM-01,WA,Umbrella,Urban agency corridor,158345,151277,84200,55.7,23.0,78.7,89.5,123,4.5,15179
2025-09,WA-UM-01,WA,Umbrella,Urban agency corridor,206261,197014,104097,52.8,19.8,72.6,88.2,222,6.6,7136
2025-10,WA-UM-01,WA,Umbrella,Urban agency corridor,231703,221683,120721,54.5,21.9,76.4,89.1,169,4.4,16230
2025-11,WA-UM-01,WA,Umbrella,Urban agency corridor,230411,226115,114398,50.6,18.7,69.3,89.9,174,5.7,11484
2025-12,WA-UM-01,WA,Umbrella,Urban agency corridor,167997,166362,72097,43.3,20.5,63.9,84.3,125,4.2,13750
2026-01,WA-UM-01,WA,Umbrella,Urban agency corridor,191151,178571,86992,48.7,18.7,67.4,88.8,202,5.1,8486
2026-02,WA-UM-01,WA,Umbrella,Urban agency corridor,186217,178210,90467,50.8,23.2,73.9,87.7,224,6.5,6176
2026-03,WA-UM-01,WA,Umbrella,Urban agency corridor,168635,165564,84695,51.2,20.1,71.3,88.3,155,5.3,10372
2025-04,WA-UM-02,WA,Umbrella,Rural farm belt,207491,200989,116200,57.8,18.8,76.6,82.9,176,7.7,8609
2025-05,WA-UM-02,WA,Umbrella,Rural farm belt,172642,162477,81497,50.2,20.0,70.2,82.5,219,4.5,8335
2025-06,WA-UM-02,WA,Umbrella,Rural farm belt,161583,154800,95563,61.7,21.5,83.2,85.5,120,7.9,10140
2025-07,WA-UM-02,WA,Umbrella,Rural farm belt,229135,211773,105695,49.9,24.0,73.9,85.7,188,4.8,11678
2025-08,WA-UM-02,WA,Umbrella,Rural farm belt,215668,207423,106077,51.1,18.6,69.8,82.5,162,4.8,13560
2025-09,WA-UM-02,WA,Umbrella,Rural farm belt,229006,231749,114195,49.3,23.6,72.8,82.0,204,4.9,11496
2025-10,WA-UM-02,WA,Umbrella,Rural farm belt,187286,178114,92471,51.9,20.5,72.4,81.5,164,6.4,8765
2025-11,WA-UM-02,WA,Umbrella,Rural farm belt,199754,201870,101361,50.2,22.9,73.1,85.4,156,5.8,11234
2025-12,WA-UM-02,WA,Umbrella,Rural farm belt,164601,154680,82579,53.4,23.1,76.4,84.5,180,4.7,9766
2026-01,WA-UM-02,WA,Umbrella,Rural farm belt,200537,199624,111224,55.7,21.2,76.9,86.1,178,5.2,11973
2026-02,WA-UM-02,WA,Umbrella,Rural farm belt,214907,216288,116436,53.8,19.4,73.2,80.9,209,6.0,9328
2026-03,WA-UM-02,WA,Umbrella,Rural farm belt,180567,167136,88673,53.1,20.4,73.4,83.2,215,4.6,9063
2025-04,WA-UM-03,WA,Umbrella,Wildland interface,186940,182347,126175,69.2,23.9,93.1,80.4,142,6.4,13816
2025-05,WA-UM-03,WA,Umbrella,Wildland interface,174569,168906,101109,59.9,18.9,78.7,78.4,125,6.5,12455
2025-06,WA-UM-03,WA,Umbrella,Wildland interface,213521,207213,128190,61.9,20.0,81.9,80.4,200,6.1,10478
2025-07,WA-UM-03,WA,Umbrella,Wildland interface,160929,154055,99274,64.4,21.0,85.4,79.8,135,5.6,13062
2025-08,WA-UM-03,WA,Umbrella,Wildland interface,209597,194211,117418,60.5,22.6,83.0,79.5,158,5.6,13254
2025-09,WA-UM-03,WA,Umbrella,Wildland interface,236304,238036,150310,63.1,22.0,85.1,78.6,244,5.1,12037
2025-10,WA-UM-03,WA,Umbrella,Wildland interface,217191,208329,136774,65.7,24.1,89.8,79.6,210,5.7,11367
2025-11,WA-UM-03,WA,Umbrella,Wildland interface,229890,226904,153525,67.7,22.9,90.6,81.9,207,6.3,11762
2025-12,WA-UM-03,WA,Umbrella,Wildland interface,192290,183864,106004,57.7,19.6,77.2,79.0,133,5.8,13729
2026-01,WA-UM-03,WA,Umbrella,Wildland interface,173629,162127,84185,51.9,23.6,75.5,78.4,129,4.4,14674
2026-02,WA-UM-03,WA,Umbrella,Wildland interface,241122,222743,127383,57.2,23.1,80.3,78.5,224,6.9,8265
2026-03,WA-UM-03,WA,Umbrella,Wildland interface,237206,236520,159183,67.3,19.5,86.8,80.4,233,6.2,11046
2025-04,WA-UM-04,WA,Umbrella,Mountain and hail belt,193731,184228,122423,66.5,21.3,87.8,83.8,187,5.4,12054
2025-05,WA-UM-04,WA,Umbrella,Mountain and hail belt,238100,230045,135876,59.1,20.8,79.9,81.9,165,5.1,16151
2025-06,WA-UM-04,WA,Umbrella,Mountain and hail belt,221905,207224,124392,60.0,22.3,82.4,84.0,186,7.5,8927
2025-07,WA-UM-04,WA,Umbrella,Mountain and hail belt,227595,228760,140048,61.2,23.1,84.3,80.4,169,7.4,11149
2025-08,WA-UM-04,WA,Umbrella,Mountain and hail belt,189116,191885,114218,59.5,21.2,80.7,80.9,254,7.7,5867
2025-09,WA-UM-04,WA,Umbrella,Mountain and hail belt,196598,185506,133369,71.9,20.7,92.6,78.9,135,6.1,16071
2025-10,WA-UM-04,WA,Umbrella,Mountain and hail belt,212398,212215,115389,54.4,20.2,74.6,83.7,175,6.6,9936
2025-11,WA-UM-04,WA,Umbrella,Mountain and hail belt,219192,211489,105522,49.9,19.0,68.9,80.3,162,4.9,13373
2025-12,WA-UM-04,WA,Umbrella,Mountain and hail belt,222664,216603,108880,50.3,20.2,70.5,80.6,282,5.2,7373
2026-01,WA-UM-04,WA,Umbrella,Mountain and hail belt,230685,222775,110718,49.7,23.9,73.6,82.3,298,4.9,7533
2026-02,WA-UM-04,WA,Umbrella,Mountain and hail belt,176206,164640,92185,56.0,22.2,78.2,80.2,161,5.2,11067
2026-03,WA-UM-04,WA,Umbrella,Mountain and hail belt,161330,164148,83746,51.0,21.7,72.7,81.8,116,5.0,14534
2025-04,OR-HO-01,OR,Home,Urban agency corridor,717292,716468,423496,59.1,30.9,90.0,82.4,335,5.3,23902
2025-05,OR-HO-01,OR,Home,Urban agency corridor,872292,806376,523033,64.9,31.4,96.2,79.7,375,6.6,21123
2025-06,OR-HO-01,OR,Home,Urban agency corridor,1051465,1033773,736060,71.2,26.9,98.1,83.3,581,7.9,15955
2025-07,OR-HO-01,OR,Home,Urban agency corridor,743926,699251,405005,57.9,32.1,90.0,81.8,292,5.7,24462
2025-08,OR-HO-01,OR,Home,Urban agency corridor,850029,846059,507925,60.0,28.6,88.7,83.4,376,6.6,20611
2025-09,OR-HO-01,OR,Home,Urban agency corridor,792335,758108,538596,71.0,31.0,102.0,84.0,447,5.7,20977
2025-10,OR-HO-01,OR,Home,Urban agency corridor,979504,949877,660544,69.5,29.6,99.2,83.5,455,8.8,16481
2025-11,OR-HO-01,OR,Home,Urban agency corridor,1037811,1040129,630208,60.6,28.4,89.0,79.1,517,6.7,18172
2025-12,OR-HO-01,OR,Home,Urban agency corridor,1044066,1005030,619361,61.6,28.6,90.2,78.9,446,6.7,20873
2026-01,OR-HO-01,OR,Home,Urban agency corridor,1247800,1182235,783582,66.3,32.2,98.5,79.1,596,7.1,18480
2026-02,OR-HO-01,OR,Home,Urban agency corridor,1156128,1142186,757962,66.4,27.4,93.7,82.3,531,8.6,16507
2026-03,OR-HO-01,OR,Home,Urban agency corridor,792017,790316,453362,57.4,28.8,86.2,82.1,406,5.3,21209
2025-04,OR-HO-02,OR,Home,Rural farm belt,897907,884398,563710,63.7,27.2,90.9,83.0,484,6.8,17240
2025-05,OR-HO-02,OR,Home,Rural farm belt,981371,928551,615492,66.3,29.2,95.5,84.6,588,5.5,19080
2025-06,OR-HO-02,OR,Home,Rural farm belt,953670,889072,699468,78.7,29.2,107.9,84.0,504,9.9,14005
2025-07,OR-HO-02,OR,Home,Rural farm belt,1051423,1056209,736244,69.7,28.6,98.3,79.0,563,5.8,22431
2025-08,OR-HO-02,OR,Home,Rural farm belt,1139971,1129918,904102,80.0,30.3,110.3,83.4,615,9.9,14894
2025-09,OR-HO-02,OR,Home,Rural farm belt,829650,774800,587506,75.8,26.7,102.5,81.9,462,6.6,19317
2025-10,OR-HO-02,OR,Home,Rural farm belt,1006710,987778,600552,60.8,28.4,89.2,84.6,475,6.0,21063
2025-11,OR-HO-02,OR,Home,Rural farm belt,1120103,1122717,653649,58.2,32.3,90.6,82.5,635,5.3,19273
2025-12,OR-HO-02,OR,Home,Rural farm belt,915902,923042,638879,69.2,30.3,99.6,79.7,390,7.2,22870
2026-01,OR-HO-02,OR,Home,Rural farm belt,1204126,1114468,632729,56.8,27.4,84.2,79.6,687,5.1,17920
2026-02,OR-HO-02,OR,Home,Rural farm belt,927488,940557,670414,71.3,31.6,102.9,80.1,474,7.0,20347
